System,Scope,N,Strict_Acc_pct,Strict_Acc_CI95,Acceptable_Acc_pct,Acceptable_Acc_CI95,Partial_or_Better_pct,Partial_or_Better_CI95,Mean_Judge_Score,Mean_Semantic_Cosine,Script_Format_OK_pct,Empty_pct,Refusal_pct
Base (zero-shot),Overall,333,0.6,"[0.0, 1.5]",29.13,"[24.6, 34.2]",85.89,"[82.3, 89.5]",2.069,0.4468,33.63,0.0,0.0
Base (zero-shot),english,111,0.9,"[0.0, 2.7]",8.11,"[3.6, 13.5]",72.97,"[64.9, 81.1]",1.613,0.4496,0.9,0.0,0.0
Base (zero-shot),bangla,111,0.0,"[0.0, 0.0]",28.83,"[20.7, 37.8]",87.39,"[81.1, 92.8]",2.126,0.4652,100.0,0.0,0.0
Base (zero-shot),banglish,111,0.9,"[0.0, 2.7]",50.45,"[41.4, 59.5]",97.3,"[94.6, 100.0]",2.468,0.4256,0.0,0.0,0.0
Fine-tuned (FT),Overall,333,0.3,"[0.0, 1.2]",30.33,"[25.5, 35.4]",72.97,"[68.2, 77.8]",1.916,0.3975,100.0,0.0,0.0
Fine-tuned (FT),english,111,0.0,"[0.0, 0.0]",62.16,"[53.2, 71.2]",89.19,"[82.9, 94.6]",2.468,0.4221,100.0,0.0,0.0
Fine-tuned (FT),bangla,111,0.0,"[0.0, 0.0]",8.11,"[3.6, 13.5]",59.46,"[50.5, 68.5]",1.432,0.4144,100.0,0.0,0.0
Fine-tuned (FT),banglish,111,0.9,"[0.0, 2.7]",20.72,"[13.5, 28.8]",70.27,"[62.2, 78.4]",1.847,0.3562,100.0,0.0,0.0
FT + RAG,Overall,333,0.0,"[0.0, 0.0]",25.83,"[21.3, 30.3]",68.47,"[63.4, 73.3]",1.787,0.3865,100.0,0.0,0.0
FT + RAG,english,111,0.0,"[0.0, 0.0]",51.35,"[42.3, 60.4]",84.68,"[78.4, 91.0]",2.279,0.412,100.0,0.0,0.0
FT + RAG,bangla,111,0.0,"[0.0, 0.0]",10.81,"[5.4, 17.1]",56.76,"[46.8, 66.7]",1.432,0.4112,100.0,0.0,0.0
FT + RAG,banglish,111,0.0,"[0.0, 0.0]",15.32,"[9.0, 21.6]",63.96,"[55.0, 72.1]",1.649,0.3364,100.0,0.0,0.0
