System,Scope,N,Strict_Acc_pct,Strict_Acc_CI95,Acceptable_Acc_pct,Acceptable_Acc_CI95,Partial_or_Better_pct,Partial_or_Better_CI95,Mean_Judge_Score,Mean_Semantic_Cosine,Script_Format_OK_pct,Empty_pct,Refusal_pct
Base (zero-shot),Overall,333,39.04,"[33.9, 44.1]",39.04,"[33.9, 44.1]",39.04,"[33.9, 44.1]",2.153,0.4361,61.56,0.0,0.9
Base (zero-shot),english,111,62.16,"[53.2, 70.3]",62.16,"[53.2, 70.3]",62.16,"[53.2, 70.3]",2.829,0.5077,77.48,0.0,2.7
Base (zero-shot),bangla,111,26.13,"[18.9, 34.2]",26.13,"[18.9, 34.2]",26.13,"[18.9, 34.2]",1.784,0.4297,100.0,0.0,0.0
Base (zero-shot),banglish,111,28.83,"[20.7, 36.9]",28.83,"[20.7, 36.9]",28.83,"[20.7, 36.9]",1.847,0.3708,7.21,0.0,0.0
Fine-tuned (FT),Overall,333,56.16,"[51.3, 61.6]",56.16,"[51.3, 61.6]",56.16,"[51.3, 61.6]",2.679,0.4865,98.5,0.0,0.0
Fine-tuned (FT),english,111,72.97,"[64.9, 81.1]",72.97,"[64.9, 81.1]",72.97,"[64.9, 81.1]",3.189,0.5404,95.5,0.0,0.0
Fine-tuned (FT),bangla,111,29.73,"[21.6, 37.8]",29.73,"[21.6, 37.8]",29.73,"[21.6, 37.8]",1.883,0.4585,100.0,0.0,0.0
Fine-tuned (FT),banglish,111,65.77,"[56.8, 74.8]",65.77,"[56.8, 74.8]",65.77,"[56.8, 74.8]",2.964,0.4605,100.0,0.0,0.0
FT + RAG,Overall,333,44.44,"[38.7, 49.8]",44.44,"[38.7, 49.8]",44.44,"[38.7, 49.8]",2.327,0.4858,99.7,0.0,0.0
FT + RAG,english,111,54.05,"[45.0, 63.1]",54.05,"[45.0, 63.1]",54.05,"[45.0, 63.1]",2.622,0.5528,99.1,0.0,0.0
FT + RAG,bangla,111,28.83,"[19.8, 37.8]",28.83,"[19.8, 37.8]",28.83,"[19.8, 37.8]",1.847,0.4445,100.0,0.0,0.0
FT + RAG,banglish,111,50.45,"[41.4, 60.4]",50.45,"[41.4, 60.4]",50.45,"[41.4, 60.4]",2.514,0.4601,100.0,0.0,0.0
